code,name,eog_score_latino
340392,Hanes Magnet School,52
340398,Homebound/ Hospital Education,N/A
340400,Ibraham Elementary,33
340403,Jefferson Elementary,45
340406,Thomas Jefferson Middle,56
340416,Kernersville Elementary,56.9
340420,Kernersville Middle,57.8
340424,Kimberley Park Elementary,22
340426,Kimmel Farm Elementary,59.1
340427,Kingswood School,N/A
340428,Konnoak Elementary,41.7
340430,Diggs-Latham Elementary,37.4
340432,Lewisville Elementary,60
340436,Lowrance Middle,N/A
340440,Meadowlark Elementary,77.8
340442,Meadowlark Middle,70.4
340446,Middle College of Forsyth Cnty,N/A
340448,Mineral Springs Elementary,54.4
340452,Mineral Springs Middle,39.3
340453,Moore Magnet Elementary,57.4
340454,Mount Tabor High School,37.1
340457,Frank Morgan Elementary,54.1
340462,North Hills Elementary,36.6
340464,Northwest Middle,39.3
340472,Old Richmond Elementary,68.1
340476,Old Town Elementary,34.6
340480,Paisley IB Magnet School,55.3
320312,C E Jordan High,22.3
340488,J F Kennedy High,32.4
340490,Petree Elementary,19.2
340492,Philo-Hill Magnet Academy,11.4
340494,Piney Grove Elementary,53.4
340495,Ronald W Reagan High School,60.3
340496,R J Reynolds High,43.1
340504,Rural Hall Elementary,41.8
340508,Sedge Garden Elementary,48.7
340512,Sherwood Forest Elementary,72.7
340514,Smith Farm Elementary,31.9
340516,Southeast Middle,42
340520,South Fork Elementary,50.9
340528,Southwest Elementary,69.6
340530,Speas Elementary,43.3
340531,The Special Children's School,N/A
340532,Union Cross Traditional Acad,42.6
340536,Vienna Elementary,72.6
340540,Walkertown Elementary,33.6
340542,Walkertown High,47.9
340544,Walkertown Middle,42.6
340548,Ward Elementary,46.4
340556,West Forsyth High,52.2
340560,Whitaker Elementary,N/A
340564,Wiley Magnet Middle,28.5
340568,Winston-Salem Preparatory Acad,11.3
350304,Bunn Elementary,58
350308,Bunn High,56.4
350310,Bunn Middle,56.9
350312,Cedar Creek Middle,47.2
350316,Edward Best Elementary,53
350317,Franklin County Early College,N/A
350318,Franklinton Elementary,50
350321,Franklinton High,47.5
350324,Franklinton Middle,51.2
350330,Laurel Mill Elementary,54.2
350331,Long Mill Elementary,63.4
350332,Louisburg Elementary,48.8
350338,Terrell Lane Middle,60.4
350339,Royal Elementary,39.4
350340,Youngsville Elementary,54.5
360310,Ashbrook High,52.8
360320,Belmont Central Elementary,70.4
360324,Belmont Middle,48
360332,Bessemer City Central Elem,32.8
320701,Hillside New Tech High,44.4
360337,Gaston Early College High School,N/A
360338,Bessemer City Primary,N/A
360339,W B Beam Intermediate School,N/A
360340,Brookside Elementary,37.2
360344,Carr Elementary,56.3
360348,Catawba Heights Elementary,50
360352,Chapel Grove Elementary,55
360360,Cherryville High,N/A
360364,Cherryville Elementary,N/A
360372,Warlick Academy,N/A
360376,Costner Elementary,56.3
330350,SouthWest Edgecombe High,38.7
360380,Cramerton Middle,71.1
